Pos.,Countries,Global score,With abuses,Without abuses.,Score 2020,Dif. Position 2020
1,Norway,93.28,100.0,93.28,92.16,0
2,Finland,93.01,100.0,93.01,92.07,0
3,Sweden,92.76,100.0,92.76,90.75,1
4,Denmark,91.43,100.0,91.43,91.87,-1
5,Costa Rica,91.24,89.01,91.79,89.47,2
6,Netherlands,90.33,86.14,91.26,90.04,-1
7,Jamaica,90.04,100.0,90.04,89.49,-1
8,New Zealand,89.96,100.0,89.96,89.31,1
9,Portugal,89.89,100.0,89.89,88.17,1
10,Switzerland,89.45,93.07,89.45,89.38,-2
11,Belgium,88.31,93.07,88.31,87.43,1
12,Ireland,88.09,100.0,88.09,87.4,1
13,Germany,84.76,56.69,91.75,87.84,-2
14,Canada,84.75,100.0,84.75,84.71,2
15,Estonia,84.75,100.0,84.75,87.39,-1
16,Iceland,84.63,100.0,84.63,84.88,-1
17,Austria,83.66,89.01,83.66,84.22,1
18,Uruguay,83.62,100.0,83.62,84.21,1
19,Suriname,83.05,100.0,83.05,82.5,1
20,Luxembourg,82.44,100.0,82.44,84.54,-3
21,Samoa,80.76,100.0,80.76,81.75,0
22,Latvia,80.74,100.0,80.74,81.44,0
23,Liechtenstein,80.51,100.0,80.51,80.48,1
24,Namibia,80.28,89.01,80.28,80.75,-1
25,Australia,80.21,100.0,80.21,79.79,1
26,Cyprus,80.15,83.91,80.15,79.55,1
27,Cabo Verde,79.91,100.0,79.91,79.85,-2
28,Lithuania,79.85,100.0,79.85,78.81,0
29,Spain,79.56,76.02,80.3,77.84,0
30,Ghana,78.67,82.08,78.67,77.74,0
31,Trinidad and Tobago,78.45,100.0,78.45,76.78,5
32,South Africa,78.41,54.36,84.39,77.59,-1
33,United Kingdom,78.41,86.14,78.35,77.07,2
34,France,77.4,58.1,82.11,77.08,0
35,Slovakia,76.98,100.0,76.98,77.33,-2
36,Slovenia,76.9,93.07,76.9,77.36,-4
37,Burkina Faso,76.83,93.07,76.83,76.53,1
38,Botswana,76.75,93.07,76.75,76.44,1
39,Andorra,76.68,100.0,76.68,76.77,-2
40,Czech Republic,76.62,100.0,76.62,76.43,0
41,Italy,76.61,72.27,77.37,76.31,0
42,South Korea,76.57,100.0,76.57,76.3,0
43,Taiwan,76.14,100.0,76.14,76.24,0
44,United States,76.07,60.3,79.97,76.15,1
45,OECS,76.02,100.0,76.03,76.22,-1
46,Tonga,75.41,100.0,75.41,72.73,4
47,Papua New Guinea,75.12,100.0,75.12,76.07,-1
48,Romania,75.09,100.0,75.09,74.09,0
49,Senegal,74.78,71.67,75.38,76.01,-2
50,Dominican Republic,74.4,93.07,74.4,72.1,5
51,Guyana,74.39,100.0,74.39,73.37,-2
52,Seychelles,74.34,100.0,74.34,71.34,11
